"Gene_ID"	"SRR8368679"	"SRR8368680"	"SRR8368681"	"SRR8368682"	"SRR8368683"	"SRR8368684"
"Rv0001"	1006	921	1069	847	749	232
"Rv0002"	723	801	804	726	762	274
"Rv0003"	271	357	361	243	277	135
"Rv0004"	145	182	201	141	145	88
"Rv0005"	1960	2464	2619	2173	2218	1428
"Rv0006"	2699	3238	3156	2524	2695	1619
"Rv0007"	694	770	779	630	687	402
"Rv0008c"	103	80	88	97	102	54
"Rv0009"	906	998	1031	902	864	414
"Rv0010c"	285	227	268	273	250	116
"Rv0011c"	203	152	169	200	151	62
"Rv0012"	208	252	241	236	232	176
"Rv0013"	219	215	238	221	193	109
"Rv0014c"	353	444	401	344	340	266
"Rv0015c"	402	391	471	379	394	281
"Rv0016c"	367	438	469	412	399	308
"Rv0017c"	259	266	306	306	307	226
"Rv0018c"	472	660	660	533	578	365
"Rv0019c"	356	341	388	316	295	181
"Rv0020c"	1765	1761	1858	1679	1712	879
"Rv0021c"	230	210	233	212	196	143
"Rv0022c"	6	8	6	10	8	48
"Rv0023"	43	57	64	52	50	94
"Rv0024"	74	79	92	71	82	89
"Rv0025"	101	117	105	90	83	89
"Rv0026"	216	259	250	215	208	175
"Rv0027"	42	49	27	32	36	33
"Rv0028"	99	104	127	100	98	63
"Rv0029"	260	287	293	285	293	183
"Rv0030"	112	116	132	127	95	48
"Rv0032"	495	472	516	629	458	399
"Rv0033"	18	14	11	12	10	18
"Rv0034"	36	23	22	35	29	29
"Rv0035"	286	251	253	325	235	232
"Rv0036c"	337	367	355	305	355	206
"Rv0037c"	314	302	351	328	329	189
"Rv0038"	267	344	409	338	367	233
"Rv0039c"	231	225	251	247	295	154
"Rv0040c"	859	889	1002	1259	1075	667
"Rv0041"	588	745	779	608	622	515
"Rv0042c"	140	111	151	141	113	101
"Rv0043c"	130	131	139	124	103	109
"Rv0044c"	109	85	107	127	95	94
"Rv0045c"	240	218	275	214	243	132
"Rv0046c"	3940	3315	4009	3859	3630	914
"Rv0047c"	212	234	237	192	278	104
"Rv0048c"	264	267	271	260	260	152
"Rv0049"	320	432	436	343	378	171
"Rv0050"	910	1185	1200	894	1125	678
"Rv0051"	195	269	257	228	258	214
"Rv0052"	73	51	61	53	68	70
"Rv0053"	316	330	383	262	237	137
"Rv0054"	278	354	348	282	286	177
"Rv0055"	134	166	200	131	130	134
"Rv0056"	325	444	472	323	343	249
"Rv0057"	90	123	100	91	74	107
"Rv0058"	1349	2239	2439	1425	2038	1180
"Rv0059"	216	243	277	175	232	156
"Rv0060"	402	485	484	453	408	303
"Rv0061c"	457	331	417	495	407	149
"Rv0062"	265	229	210	208	173	151
"Rv0063"	206	266	273	261	223	245
"Rv0063a"	11	16	19	19	20	22
"Rv0064"	354	416	464	430	508	440
"Rv0064A"	22	22	26	17	24	20
"Rv0065"	42	43	56	54	53	38
"Rv0066c"	576	672	674	688	613	577
"Rv0067c"	37	46	33	34	35	44
"Rv0068"	75	79	75	74	67	88
"Rv0069c"	185	213	214	146	219	199
"Rv0070c"	134	138	139	107	153	152
"Rv0071"	92	99	115	87	83	61
"Rv0072"	517	601	634	545	600	281
"Rv0073"	570	794	758	584	630	385
"Rv0074"	365	440	433	352	407	295
"Rv0075"	263	277	308	288	317	224
"Rv0076c"	105	87	103	122	92	55
"Rv0077c"	46	50	44	40	41	73
"Rv0078"	52	57	82	55	52	60
"Rv0078A"	153	229	214	207	225	149
"Rv0078B"	129	244	206	137	92	86
"Rv0079"	22	182	230	23	140	232
"Rv0080"	8	16	17	15	19	61
"Rv0081"	5	6	3	9	7	24
"Rv0082"	6	11	13	7	4	18
"Rv0083"	23	57	46	22	33	121
"Rv0084"	75	87	85	90	97	104
"Rv0085"	13	16	22	19	26	36
"Rv0086"	92	107	125	90	91	144
"Rv0087"	36	40	50	36	52	137
"Rv0088"	160	260	289	235	282	272
"Rv0089"	51	73	81	69	60	98
"Rv0090"	31	30	23	30	34	60
"Rv0091"	85	72	87	76	50	77
"Rv0092"	300	411	413	297	406	326
"Rv0093c"	81	93	77	61	66	67
"Rv0094c"	1	0	0	0	1	6
"Rv0095c"	14	24	22	12	17	37
"Rv0096"	25	25	22	30	15	70
"Rv0097"	70	60	59	43	37	51
"Rv0098"	26	23	35	13	15	35
"Rv0099"	112	115	120	87	90	137
"Rv0100"	8	5	7	10	8	14
"Rv0101"	495	494	589	497	390	722
"Rv0102"	314	369	376	383	354	359
"Rv0103c"	615	673	731	577	650	465
"Rv0104"	269	358	383	264	309	156
"Rv0105c"	5	10	9	7	16	21
"Rv0106"	111	83	108	88	104	102
"Rv0107c"	1713	2117	2138	1463	1730	1003
"Rv0108c"	1710	1969	2132	1838	1779	449
"Rv0109"	94	109	127	96	119	135
"Rv0110"	121	150	168	124	119	116
"Rv0111"	382	422	476	409	434	347
"Rv0112"	338	347	405	338	344	169
"Rv0113"	233	190	217	243	201	76
"Rv0114"	86	101	112	91	96	61
"Rv0115"	86	128	124	116	147	150
"Rv0115a"	70	69	81	63	55	20
"Rv0116c"	218	238	307	258	280	135
"Rv0117"	130	142	150	112	129	135
"Rv0118c"	268	400	383	181	254	464
"Rv0119"	224	286	339	163	200	285
"Rv0120c"	734	1001	1082	699	997	661
"Rv0121c"	7	18	12	14	16	55
"Rv0122"	22	29	24	6	21	38
"Rv0123"	49	45	62	46	52	65
"Rv0124"	34	33	45	31	49	63
"Rv0125"	437	461	474	386	482	428
"Rv0126"	246	265	288	212	262	263
"Rv0127"	320	336	411	288	320	319
"Rv0128"	213	230	236	257	203	136
"Rv0129c"	1720	2343	2377	2351	2161	1430
"Rv0130"	48	61	65	48	48	56
"Rv0131c"	124	175	158	121	142	191
"Rv0132c"	91	71	76	65	94	88
"Rv0133"	182	185	188	179	211	130
"Rv0134"	328	393	404	400	477	203
"Rv0135c"	221	280	257	239	223	133
"Rv0136"	165	181	193	208	218	152
"Rv0137c"	150	127	172	162	146	76
"Rv0138"	79	77	82	60	55	66
"Rv0139"	231	259	273	193	222	203
"Rv0140"	95	139	144	109	106	77
"Rv0141c"	272	340	365	283	255	120
"Rv0142"	240	215	271	219	244	120
"Rv0143c"	355	413	473	358	397	236
"Rv0144"	1579	1743	1901	1355	1381	544
"Rv0145"	3038	2802	3143	2777	2727	772
"Rv0146"	256	288	290	264	250	173
"Rv0147"	805	977	1060	868	1003	540
"Rv0148"	529	769	856	652	733	386
"Rv0149"	332	479	528	403	498	261
"Rv0150c"	29	29	34	32	20	24
"Rv0151c"	127	130	138	122	110	120
"Rv0152c"	90	78	110	104	83	125
"Rv0153c"	155	230	275	170	238	138
"Rv0154c"	216	223	263	166	198	212
"Rv0155"	190	231	207	208	178	147
"Rv0156"	61	77	60	65	70	62
"Rv0157"	539	666	687	551	594	484
"Rv0157A"	74	80	103	95	49	16
"Rv0158"	80	53	83	58	49	88
"Rv0159c"	135	137	158	153	130	137
"Rv0160c"	27	31	43	21	33	102
"Rv0161"	71	104	87	73	59	126
"Rv0162c"	77	73	81	73	68	99
"Rv0163"	55	56	63	53	50	55
"Rv0164"	607	629	629	571	481	321
"Rv0165c"	673	679	809	680	659	169
"Rv0166"	4825	5574	6166	4820	4662	1422
"Rv0167"	2753	2946	3337	2839	2741	1077
"Rv0168"	1019	1206	1373	984	1220	487
"Rv0169"	1727	2596	2935	1936	1986	972
"Rv0170"	2061	2569	2920	1985	2269	1074
"Rv0171"	2810	3411	3671	2701	2870	1091
"Rv0172"	2057	2294	2500	2010	2013	815
"Rv0173"	1250	1259	1319	1212	1111	588
"Rv0174"	3342	3893	4128	3153	3493	1632
"Rv0175"	1277	1359	1351	1022	1203	778
"Rv0176"	469	581	629	433	530	262
"Rv0177"	375	394	447	330	309	223
"Rv0178"	511	588	558	471	459	331
"Rv0179c"	404	480	549	633	515	322
"Rv0180c"	362	376	343	384	363	282
"Rv0181c"	58	90	95	58	79	87
"Rv0182c"	176	167	197	178	202	126
"Rv0183"	229	211	216	197	170	158
"Rv0184"	176	215	219	206	199	154
"Rv0185"	114	124	124	115	122	102
"Rv0186"	563	670	662	519	653	515
"Rv0186A"	130	145	149	130	143	56
"Rv0187"	101	129	130	122	106	98
