Rv0001	59886	11550	1839	1388	1605	307	3245	18114	31112	18892	3006	975	3506	481	2513
Rv0002	12230	6785	1064	286	473	95	714	2836	3592	2180	2419	510	322	51	1555
Rv0003	7014	9273	569	603	1833	66	258	2157	2064	1519	1109	274	167	30	1753
Rv0004	2767	1634	585	60	126	57	175	1027	876	685	834	142	139	21	655
Rv0005	77965	13321	13425	6449	6003	3502	13914	25356	37135	22448	16279	7413	5051	912	11906
Rv0006	30811	9861	8707	1218	1194	2433	6355	8059	15562	9936	8943	1522	2024	412	9146
Rv0007	12584	3158	1556	403	554	299	1354	3353	3825	2260	3034	748	467	130	1735
Rv0008c	806	976	287	54	10	56	63	150	234	205	345	57	29	1	437
Rv0009	7897	1672	456	29	99	24	185	1477	2878	2303	625	196	267	10	573
Rv0010c	4522	1881	496	241	297	46	332	1083	1539	1211	356	60	204	37	707
Rv0011c	2565	2974	300	185	97	29	160	873	631	552	240	85	84	24	509
Rv0012	14232	4102	1125	997	1392	160	497	2611	1543	1106	3463	1823	346	41	1394
Rv0013	5119	1722	708	86	269	55	322	1423	2170	1623	424	185	312	30	720
Rv0014c	13028	6202	2120	707	647	459	1154	2941	4399	2879	4638	882	756	106	2787
Rv0015c	6004	4207	2324	156	97	364	884	650	2297	1616	3603	225	393	63	2859
Rv0016c	19197	5441	2432	1323	1432	332	1103	4699	4489	3266	6045	559	907	75	3024
Rv0017c	17482	5401	1503	428	343	108	672	2670	2793	2025	2551	448	541	72	2163
Rv0018c	16105	4879	2184	585	572	266	1106	3000	4290	2688	4506	374	782	103	2520
Rv0019c	6712	2072	1141	275	143	129	416	1376	1595	1158	1063	396	225	30	1118
Rv0020c	41489	9277	10261	1497	2200	1863	3450	7555	10188	6492	14829	1907	1481	182	10437
Rv0021c	1778	2576	129	49	81	27	60	301	428	326	232	8	40	3	464
Rv0022c	89	924	26	7	13	0	8	15	21	7	66	0	3	1	143
Rv0023	4858	2279	1297	267	124	72	193	736	597	402	2576	64	136	15	1692
Rv0024	2446	1966	1026	292	260	45	216	307	724	398	2075	217	168	21	1175
Rv0025	1784	1033	500	96	113	29	88	346	377	185	1017	135	78	5	727
Rv0026	12588	5888	806	1740	1061	283	606	3607	1871	1533	2185	804	295	76	1115
Rv0027	402	1402	179	50	131	53	122	31	150	151	146	162	22	0	292
Rv0028	432	1032	220	217	206	76	155	249	197	70	301	55	33	3	368
Rv0029	5605	2289	994	328	137	135	381	2052	1341	795	1236	320	203	23	1188
Rv0030	962	905	90	27	92	14	75	271	254	197	146	2	21	4	172
Rv0032	5180	12186	322	285	1148	28	198	1787	1918	1572	810	180	134	16	2056
Rv0033	1570	946	41	7	58	12	48	358	491	428	217	3	53	8	200
Rv0034	140	935	39	5	28	10	9	71	41	23	45	20	7	0	126
Rv0035	2450	4472	271	35	192	19	104	515	761	665	909	63	104	8	892
Rv0036c	6505	2428	1609	89	179	147	892	905	3429	1891	1939	438	404	66	2196
Rv0037c	2543	3366	663	42	151	102	172	614	659	405	1432	77	80	9	999
Rv0038	5556	3263	4447	913	360	494	739	1588	1750	1147	3226	342	284	22	3707
Rv0039c	2043	818	847	94	154	128	236	411	618	355	1165	36	112	5	735
Rv0040c	4218	2040	1111	399	266	141	354	701	1346	655	2314	177	159	9	1362
Rv0041	20108	10400	1798	708	1122	406	1271	4116	3566	2446	5611	1345	660	71	3280
Rv0042c	3379	3261	518	127	241	32	202	1100	958	772	1014	439	145	14	697
Rv0043c	1359	2202	271	84	154	36	130	290	524	431	470	13	79	5	582
Rv0044c	1800	2638	483	446	251	105	171	612	457	328	683	40	83	7	778
Rv0045c	4405	1719	503	145	46	78	870	679	951	547	547	48	75	11	628
Rv0046c	76767	4880	8800	2382	2281	2024	7994	16773	11571	6656	18666	3453	1627	131	6373
Rv0047c	27520	2615	2609	186	143	673	3694	3215	3575	2293	2715	550	616	70	2344
Rv0048c	8873	1706	866	322	386	340	1084	1252	1410	812	1351	279	261	27	1052
Rv0049	3804	1890	1486	76	210	358	824	734	961	547	1682	113	132	4	1362
Rv0050	23394	7448	3565	1276	668	1268	3567	3926	7540	4209	10170	320	1076	126	4486
Rv0051	11033	7332	1649	1054	956	354	947	2483	2085	1379	3935	102	362	46	2485
Rv0052	2702	1432	327	131	100	99	180	506	760	472	289	48	149	11	431
Rv0053	3829	1370	219	137	43	34	176	814	788	788	538	25	47	13	345
Rv0054	12578	2480	1066	2882	1015	1412	2839	3353	3942	3082	4651	758	298	105	1314
Rv0055	18902	1810	509	2500	1691	609	1096	3107	3579	4254	1346	1539	215	37	716
Rv0056	10461	1432	453	786	622	422	1102	1895	1565	1745	1662	546	179	23	482
Rv0057	19134	2202	360	1726	2185	150	704	4519	5974	5002	1532	703	788	191	889
Rv0058	17266	10158	3524	1141	762	3312	4141	2241	5162	4364	4162	355	652	150	4572
Rv0059	3458	2440	217	145	88	216	420	446	965	673	543	49	128	29	511
Rv0060	13804	6909	3317	1934	1195	1931	2884	2527	4205	3014	4032	609	628	112	3489
Rv0061c	3988	1527	263	109	48	75	419	1218	1051	634	485	133	85	15	325
Rv0062	836	1421	125	28	54	5	59	160	204	332	183	0	13	2	397
Rv0063	1739	2493	479	258	121	96	217	245	257	244	910	52	56	7	885
Rv0063a	5061	1684	1436	1284	1654	1704	1350	1140	928	615	1852	481	210	33	2227
Rv0064	12117	13185	5830	4952	3628	5926	4309	3872	2874	1581	5781	662	523	61	6799
Rv0064A	602	535	124	353	112	220	188	248	236	181	99	15	39	5	174
